Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,,-,,b'United States',,,,,,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,21,0,0,11.3,0,0,0,3,9.9,0,0,0,0.288,91.38,136.24,0.12,1019,1,347,1.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,21,30,0,11.2,0,0,0,3,9.9,0,0,0,0.289,91.99,142.09,0.12,1019,1,174,1.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,22,0,0,11.2,0,0,0,1,9.9,0,0,0,0.289,91.58,147.8,0.12,1019,1,1,1.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,22,30,0,11.1,0,0,0,4,9.9,0,0,0,0.289,92.18,153.27,0.12,1019,1,9,1.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,23,0,0,11.1,0,0,0,7,9.7,0,0,0,0.29,91.3,158.26,0.12,1019,0.9,17,1.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,23,30,0,10.8,0,0,0,4,9.7,0,0,0,0.29,93.04,162.33,0.12,1018,0.9,27,1.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,0,0,0,10.5,0,0,0,4,9.6,0,0,0,0.29,93.99,164.69,0.12,1018,0.9,37,1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,0,30,0,10.2,0,0,0,7,9.6,0,0,0,0.29,95.88,164.54,0.12,1018,1,45,1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,1,0,0,9.9,0,0,0,7,9.3,0,0,0,0.29,96.29,161.94,0.12,1018,1,52,1.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,1,30,0,9.5,0,0,0,4,9.3,0,0,0,0.29,98.9,157.74,0.12,1018,1,56,1.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,2,0,0,9.2,0,0,0,7,9,0,0,0,0.29,98.54,152.68,0.12,1018,1,60,1.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,2,30,0,8.8,0,0,0,4,8.8,0,0,0,0.289,100,147.17,0.12,1018,1,62,1.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,3,0,0,8.4,0,0,0,4,8.4,0,0,0,0.289,100,141.43,0.12,1018,1,63,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,3,30,0,8,0,0,0,4,8,0,0,0,0.288,100,135.58,0.12,1018,1,62,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,4,0,0,7.7,0,0,0,7,7.7,0,0,0,0.288,100,129.67,0.12,1018,1,61,1.8,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,4,30,0,7.4,0,0,0,8,7.4,0,0,0,0.287,100,123.75,0.12,1018,1,59,1.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,5,0,0,7.2,0,0,0,4,7.2,0,0,0,0.287,100,117.87,0.12,1018,1,57,2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,5,30,0,7,0,0,0,3,7,0,0,0,0.286,100,112.05,0.12,1018,1.1,57,2.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,6,0,0,6.8,0,0,0,4,6.8,0,0,0,0.285,100,106.33,0.12,1019,1.1,57,2.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,6,30,0,7,0,0,0,1,7,0,0,0,0.284,100,100.72,0.12,1019,1.1,58,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,7,0,0,7.1,0,0,0,7,7.1,0,0,0,0.283,100,95.27,0.12,1019,1.1,59,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,7,30,0,7.9,0,0,0,1,7.6,0,0,0,0.283,97.78,89.51,0.12,1019,1.1,62,2.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,8,0,27,8.6,27,442,67,1,7.8,442,0,67,0.282,94.88,84.81,0.12,1020,1,65,2.8,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,8,30,40,9.4,40,615,145,1,7.8,615,0,145,0.282,89.91,80.14,0.12,1020,1,68,2.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,9,0,91,10.1,48,725,226,7,8.4,230,7,148,0.281,89.35,75.77,0.12,1020,1,71,2.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,9,30,63,11.1,54,793,302,7,8.4,667,7,272,0.281,83.61,71.79,0.12,1020,1,74,2.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,10,0,113,12.1,59,844,371,7,9,491,0,294,0.28,81.49,68.3,0.12,1020,0.9,77,3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,10,30,142,12.9,62,876,427,3,9,440,0,326,0.279,77.34,65.37,0.12,1020,0.9,79,2.8,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,11,0,64,13.8,64,899,471,0,9.4,899,0,471,0.279,74.56,63.1,0.12,1019,0.9,82,2.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,11,30,66,14.4,66,912,500,0,9.4,912,0,500,0.277,71.72,61.54,0.12,1019,0.9,86,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,3,12,0,67,15,67,917,514,0,9.5,917,0,514,0.276,69.85,60.77,0.12,1019,0.9,90,2,,,,,,,,,,,,,,,,,,,,,,,
